log,category
[4287]  [INFO] Thread-5 executing task urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 41015,Network Failure
"[4352]  Randomised test failed, check seed 12345 - Execution ID 99319",Flaky Test
"[3248]  [INFO] Thread-10 executing task EACCES: permission denied, open '/var/log/app.log' - Execution ID 65593",Permission Error
[8342]  [INFO] Thread-5 executing task Error response from daemon: container cannot be started - Execution ID 43172,Container Crash
[6550]  [INFO] Thread-5 executing task Configuration Error: Invalid JSON in config.yaml - Execution ID 74447,Environment Issue
[3539]  User does not have permission to execute this action - Execution ID 45881,Permission Error
[2210]  [INFO] Thread-7 executing task pip: No matching distribution found for numpy==99.9.9 - Execution ID 45700,Dependency Error
[8794]  [INFO] Thread-6 executing task docker run failed: container crashed unexpectedly - Execution ID 16322,Container Crash
[5653]  [INFO] Thread-7 executing task make: *** [all] Error 2 - Execution ID 31266,Build Failure
[7303]  [INFO] Thread-5 executing task FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 63109,Environment Issue
[3852]  Exception: AWS_REGION is not set - Execution ID 72648,Environment Issue
[3354]  [INFO] Thread-8 executing task FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 90299,Environment Issue
[4381]  socket hang up - Execution ID 64644,Network Failure
[3868]  [INFO] Thread-8 executing task Error: expect(received).toBe(expected) - Execution ID 61520,Test Failure
[9764]  Exception: AWS_REGION is not set - Execution ID 50282,Environment Issue
[2168]  [INFO] Thread-6 executing task OOMKilled: Container exited with code 137 - Execution ID 76572,Container Crash
[3584]  [INFO] Thread-5 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 59698,Build Failure
[2978]  Error response from daemon: container cannot be started - Execution ID 59453,Container Crash
"[6987]  Error: Timeout of 5000ms exceeded. For async tests and hooks, ensure ""done()"" is called - Execution ID 44883",Timeout Failure
[7944]  [INFO] Thread-6 executing task AssertionError: expected False to be True - Execution ID 65008,Test Failure
[3502]  [INFO] Thread-8 executing task pip: No matching distribution found for numpy==99.9.9 - Execution ID 63931,Dependency Error
[6923]  [INFO] Thread-9 executing task chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 93241,Permission Error
[6118]  Cannot read property 'url' of undefined from process.env - Execution ID 26903,Environment Issue
[4734]  [INFO] Thread-8 executing task Job terminated: Exceeded maximum allowed runtime - Execution ID 53142,Timeout Failure
[2969]  [INFO] Thread-3 executing task ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 23898,Network Failure
[5693]  [INFO] Thread-7 executing task error: expected ';' before '}' token - Execution ID 23494,Build Failure
[4751]  [INFO] Thread-9 executing task error: expected ';' before '}' token - Execution ID 90653,Build Failure
[9073]  Request timeout while fetching https://api.github.com - Execution ID 78544,Timeout Failure
[6370]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 99809,Build Failure
[3729]  [INFO] Thread-9 executing task AssertionError: expected False to be True - Execution ID 71124,Test Failure
[8664]  [INFO] Thread-10 executing task Network is unreachable - Execution ID 23412,Network Failure
[9443]  [INFO] Thread-4 executing task OOMKilled: Container exited with code 137 - Execution ID 59653,Container Crash
[7638]  Network is unreachable - Execution ID 89843,Network Failure
[7845]  TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 92798,Build Failure
[6625]  [INFO] Thread-7 executing task Gateway Timeout: 504 - Execution ID 87000,Timeout Failure
[1560]  [INFO] Thread-1 executing task make: *** [all] Error 2 - Execution ID 95793,Build Failure
[6629]  [INFO] Thread-6 executing task Expected value to equal: 5 Received: 4 - Execution ID 92237,Test Failure
[1331]  Configuration Error: Invalid JSON in config.yaml - Execution ID 56748,Environment Issue
[3293]  socket hang up - Execution ID 41745,Network Failure
"[1589]  EACCES: permission denied, open '/var/log/app.log' - Execution ID 26488",Permission Error
[9985]  Configuration Error: Invalid JSON in config.yaml - Execution ID 27167,Environment Issue
[6809]  Failed to load resource: net::ERR_NAME_NOT_RESOLVED - Execution ID 38987,Dependency Error
[7026]  [INFO] Thread-2 executing task ModuleNotFoundError: No module named 'src.utils' - Execution ID 83488,Build Failure
[2066]  [INFO] Thread-6 executing task error: expected ';' before '}' token - Execution ID 99206,Build Failure
[1655]  [INFO] Thread-8 executing task Configuration Error: Invalid JSON in config.yaml - Execution ID 64989,Environment Issue
[1192]  Gateway Timeout: 504 - Execution ID 87278,Timeout Failure
[3601]  [INFO] Thread-4 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 48973,Build Failure
[4484]  Test passed on retry 2 - Execution ID 81492,Flaky Test
[3990]  [INFO] Thread-9 executing task make: *** [all] Error 2 - Execution ID 92684,Build Failure
[4832]  [INFO] Thread-6 executing task OOMKilled: Container exited with code 137 - Execution ID 82283,Container Crash
[5052]  Failed to connect to repository: Could not resolve host - Execution ID 26390,Network Failure
[8278]  [INFO] Thread-4 executing task Failed to connect to repository: Could not resolve host - Execution ID 77974,Network Failure
[7590]  npm ERR! code ERESOLVE - Execution ID 39011,Dependency Error
[3821]  Gateway Timeout: 504 - Execution ID 29199,Timeout Failure
[3664]  Failed to connect to repository: Could not resolve host - Execution ID 64842,Network Failure
[4274]  [INFO] Thread-10 executing task User does not have permission to execute this action - Execution ID 89841,Permission Error
